post_id,created_at,category,format,caption,hashtags_count,media_count,followers,reach,impressions,likes,comments,saves,shares,watch_3s_rate,watch_completion_rate,carousel_swipe_rate,profile_visits,views,engagement_proxy_count,engagement_proxy_rate,proxy_flags
DV6Ly9uDoFj,2026-03-15 14:53:00,fashion,carousel,"@oksanamasters doesn’t believe in shortcuts.

She took the long road to 5 more medals in #MilanoCortina2026, cementing her status as the most dominant US winter #Paralympics athlete of all time.",2,6,297515324,104130363.4,124956436.08,10259,108,1890,243,,,54.0,,0,10475.0,0.0035,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DV6r923EeVi,2026-03-15 19:34:34,fashion,single,"@teamusa sled hockey nets yet another gold for their 5th straight and 6th overall.

#Paralympics #MilanoCortina2026",2,1,297515324,104130363.4,124956436.08,7010,117,1309,181,,,,911,0,7244.0,0.0024,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,profile_visits_proxy"
DV_PTxKDueO,2026-03-17 14:05:32,fashion,reels,"Mute the gallery. 

Introducing Nike Powerbeats Pro 2, the ultimate fitness earbuds. The first-ever Beats x Nike collab — where premium sound meets unbeatable stability.

No advice required.",0,1,297515324,1377869.0,1653442.8,116256,1688,21601,2916,19.1,11.08,,,1377869,119632.0,0.0402,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DVzOTfBj9TW,2026-03-12 22:00:00,education,reels,"All the pieces are there—figuring out how they go together is the hard part. See if you have what it takes with Pixellence, the newest game from TED (no distractions included). Visit the link in our bio to play now.",0,1,8476300,77322.0,92786.4,677,67,149,37,8.0,4.64,,,77322,811.0,0.0096,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DW-KM6WFmJn,2026-04-11 00:27:25,food,carousel,unicorns in the wild,0,7,17769641,6219374.35,7463249.22,70335,641,12917,1631,,,55.0,,0,71617.0,0.403,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,carousel_swipe_rate_proxy"
DW1O3gLtTcr,2026-04-07 13:15:48,food,reels,"@adriangrenier is officially here to tell you it’s all good energy. NEW Energy Refreshers are now at Starbucks. That’s all.

See #TheDevilWearsPrada2 in theaters May 1.",1,1,17769641,1493061.0,1791673.2,85969,2363,16420,2546,13.36,7.75,,,1493061,90695.0,0.5104,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DW2B2qAScx5,2026-04-07 20:41:23,food,reels,the energy we’re bringing today,0,1,17769641,100025.0,120030.0,6686,673,1473,369,17.67,10.25,,,100025,8032.0,0.0452,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DW2HOiFgbfc,2026-04-07 21:30:16,education,reels,"Your stress is less about what you’re facing and more about believing you can cope, says psychologist Jenny Taitz (@drjennytaitz). In her TED Talk, she shares 3 resets you can use in stressful situations to stop your thoughts from spiraling, take control of your emotions and reclaim your resilience. Visit the link in our bio to learn more.",0,1,8476300,69838.0,83805.6,3371,18,614,74,10.73,6.22,,,69838,3407.0,0.0402,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DW4GRUGEaIC,2026-04-08 15:58:42,business,reels,"finally, advice from someone who’s just as obsessed with your business as you are",0,1,2362280,10593.0,12711.6,280,51,71,23,8.0,4.64,,,10593,382.0,0.0162,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
DW4sLp6Ssrc,2026-04-08 21:29:36,food,reels,"anytime, anywhere energy",0,1,17769641,135782.0,162938.4,3700,253,767,163,8.0,4.64,,,135782,4206.0,0.0237,"reach_proxy,impressions_proxy,saves_proxy,shares_proxy,watch_3s_rate_proxy,watch_completion_rate_proxy"
